,,,"Percentage of 18-64 population who see good opportunities to start a firm in the area where they live","Percentage of 18-64 population who believe they have the required skills and knowledge to start a business","Percentage of the 18â€“64 population who agree that they see good opportunities but would not start a business for fear it might fail. NOTE: this is a percentage of those seeing good opportunities, and not the total adult population","Percentage of 18-64 population (individuals involved in any stage of entrepreneurial activity excluded) who are latent entrepreneurs and who intend to start a business within three years","Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business","Percentage of 18-64 population who are currently an owner-manager of an established business, i.e., owning and managing a running business that has paid salaries, wages, or any other payments to the owners for more than 42 months","Rate of involvement of employees in entrepreneurial activities, such as developing or launching new goods or services, or setting up a new business unit, a new establishment or subsidiary","Percentage of those involved in TEA that are improvement-driven opportunity motivated, divided by the percentage of TEA that is necessity-motivated","Percentage of female 18-64 population who are either a nascent entrepreneur or owner-manager of a new business, divided by the equivalent percentage for their male counterparts","Percentage of those females involved in TEA who (i) claim to be driven by opportunity as opposed to finding no other option for work; and (ii) who indicate the main driver for being involved in this opportunity is being independent or increasing their income, rather than just maintaining their income, divided by the equivalent percentage for their male counterparts","Percentage of those involved in TEA who expect to create 6 or more jobs in 5 years","Percentage of those involved in TEA who indicate that their product or service is new to at least some customers AND that few/no businesses offer the same product","Percentage of those involved in TEA in the Business Services sector  Information and Communication, Financial Intermediation and Real Estate, Professional Services or Administrative Services, as defined by the ISIC 4.0 Business Type Codebook","Percentage of 18-64 population who agree with the statement that in their country, successful entrepreneurs receive high status","Percentage of 18-64 population who agree with the statement that in their country, most people consider starting a business as a desirable career choice"
code,economy,year,"Perceived opportunities","Perceived capabilities","Fear of failure rate *","Entrepreneurial intentions","Total early-stage Entrepreneurial Activity (TEA)","Established Business Ownership","Entrepreneurial Employee Activity","Motivational Index","Female/Male TEA","Female/Male Opportunity-Driven TEA","High Job Creation Expectation",Innovation,"Business Services Sector","High Status to Successful Entrepreneurs","Entrepreneurship as a Good Career Choice"
54,Argentina,2024,57.00,74.80,18.78,17.40,23.36,6.42,,,0.93,,14.78,,15.93,,
374,Armenia,2024,51.39,59.63,38.42,36.23,17.59,10.78,,,0.59,,27.67,,11.60,73.97,87.56
43,Austria,2024,45.96,55.38,44.76,5.42,6.58,7.88,,,0.93,,8.26,,31.28,76.18,51.10
375,Belarus,2024,46.95,52.11,48.17,32.40,16.59,5.15,,,0.94,,29.56,,18.76,78.36,78.69
387,"Bosnia and Herzegovina",2024,55.09,73.34,46.79,29.87,22.71,5.86,,,0.77,,26.25,,22.05,75.79,65.76
55,Brazil,2024,64.54,67.37,51.54,49.85,20.31,13.21,,,0.83,,35.26,,17.35,,
101,Canada,2024,61.26,58.94,47.97,21.96,25.38,5.81,,,0.75,,20.81,,21.26,82.60,75.89
56,Chile,2024,60.20,69.87,46.56,38.51,27.21,8.09,,,0.95,,32.10,,23.50,60.76,70.51
86,China,2024,54.81,48.46,62.16,4.01,5.43,4.45,,,0.83,,14.40,,10.42,80.77,63.98
506,"Costa Rica",2024,61.93,75.36,36.14,44.90,5.15,2.00,,,0.96,,5.04,,10.23,56.59,66.88
385,Croatia,2024,67.28,73.81,46.02,24.65,13.06,4.38,,,0.72,,20.44,,42.11,60.24,66.04
357,Cyprus,2024,40.22,59.91,50.82,24.14,9.69,8.36,,,0.45,,38.29,,32.41,70.86,76.89
593,Ecuador,2024,54.36,83.87,40.10,34.27,33.37,13.26,,,0.92,,6.40,,3.69,55.39,58.53
20,Egypt,2024,61.11,60.45,52.78,39.21,5.15,3.29,,,0.34,,30.73,,11.81,81.67,77.48
372,Estonia,2024,45.84,44.68,45.08,15.46,13.36,6.48,,,0.70,,18.40,,30.27,69.68,55.14
33,France,2024,42.79,45.02,42.70,14.26,8.71,4.45,,,0.74,,18.16,,31.37,57.97,68.87
49,Germany,2024,42.68,41.07,45.33,10.55,9.84,6.00,,,0.77,,14.61,,39.90,81.52,56.04
30,Greece,2024,38.70,53.37,54.07,7.65,5.53,14.84,,,0.87,,18.94,,13.50,70.16,76.03
502,Guatemala,2024,75.06,79.26,42.49,44.28,23.73,14.19,,,0.82,,29.00,,7.37,80.18,93.90
36,Hungary,2024,32.34,35.83,36.37,8.69,6.71,6.90,,,0.57,,25.81,,23.50,64.95,64.77
91,India,2024,83.61,85.38,71.76,27.78,12.20,6.04,,,0.73,,8.67,,3.70,93.49,90.93
972,Israel,2024,38.40,34.47,49.68,15.18,8.36,3.64,,,0.63,,13.04,,37.72,86.70,66.86
39,Italy,2024,35.20,55.13,49.46,18.65,9.63,6.85,,,0.52,,22.77,,25.86,65.74,68.50
962,Jordan,2024,52.66,72.26,45.63,52.45,21.13,4.80,,,0.87,,16.45,,9.22,89.62,83.66
701,Kazakhstan,2024,64.36,40.56,52.59,13.36,9.64,2.61,,,0.87,,13.15,,6.58,83.45,75.34
371,Latvia,2024,40.46,54.00,47.91,21.69,12.11,8.90,,,0.70,,29.10,,21.35,60.04,55.20
370,Lithuania,2024,50.64,55.59,48.10,20.22,11.61,3.21,,,1.00,,21.83,,18.40,58.92,70.73
352,Luxembourg,2024,47.68,48.79,41.38,15.80,9.86,4.37,,,0.48,,25.54,,40.38,,58.37
52,Mexico,2024,59.09,66.55,45.61,20.96,14.96,3.34,,,1.08,,22.75,,6.96,62.66,61.27
212,Morocco,2024,62.57,74.64,52.31,15.05,12.52,2.66,,,1.00,,24.65,,6.85,84.09,78.24
47,Norway,2024,61.95,49.88,40.51,8.75,9.98,6.11,,,0.45,,29.58,,38.03,82.11,50.48
968,Oman,2024,73.81,70.08,33.18,41.55,9.17,4.42,,,0.55,,12.19,,19.29,85.54,81.17
48,Poland,2024,73.65,47.66,51.81,3.06,2.45,12.82,,,0.90,,5.10,,25.52,63.44,43.01
787,"Puerto Rico",2024,61.96,76.09,46.56,35.86,24.29,4.64,,,0.84,,18.75,,20.23,,
974,Qatar,2024,66.41,64.29,43.71,60.79,7.65,3.25,,,0.89,,60.74,,30.49,88.28,75.47
40,Romania,2024,60.04,53.05,67.40,5.99,4.97,4.21,,,0.60,,13.87,,11.78,89.31,87.18
966,"Saudi Arabia",2024,94.97,92.63,58.03,35.85,26.39,19.42,,,0.82,,63.73,,5.99,96.03,95.82
381,Serbia,2024,44.32,62.72,40.28,18.01,11.67,4.16,,,0.59,,11.52,,19.81,79.54,74.25
421,Slovakia,2024,38.75,52.43,44.10,11.68,11.53,5.02,,,0.74,,19.05,,29.15,56.83,37.74
386,Slovenia,2024,56.15,66.43,46.11,17.47,8.59,8.69,,,0.48,,25.49,,43.91,87.53,66.06
82,"South Korea",2024,40.07,57.03,29.21,22.72,11.69,22.34,,,0.62,,14.61,,11.73,89.00,59.04
34,Spain,2024,29.30,48.13,44.41,9.44,7.21,6.76,,,0.88,,9.24,,31.39,56.75,44.10
46,Sweden,2024,66.21,46.32,45.48,10.32,8.37,5.09,,,0.59,,12.26,,34.42,,
41,Switzerland,2024,48.65,44.42,37.28,10.04,9.89,7.19,,,0.82,,13.76,,28.13,78.07,35.91
886,Taiwan,2024,52.77,37.87,41.97,13.32,5.55,8.19,,,0.87,,36.69,,16.58,65.00,50.19
66,Thailand,2024,78.20,78.31,48.55,29.26,19.67,11.76,,,1.12,,34.59,,4.58,91.92,88.72
380,Ukraine,2024,36.19,52.96,55.65,23.73,12.78,4.82,,,0.95,,30.04,,14.41,68.99,70.32
971,"United Arab Emirates",2024,71.94,67.82,48.64,40.92,13.57,3.09,,,1.12,,73.47,,18.93,86.63,80.60
44,"United Kingdom",2024,49.54,54.45,57.00,14.33,14.22,9.78,,,0.69,,21.98,,25.11,80.05,70.49
1,"United States",2024,59.28,55.73,44.41,13.42,19.28,6.61,,,0.86,,34.06,,23.86,83.62,82.26
58,Venezuela,2024,60.42,82.10,36.15,17.01,11.70,1.82,,,0.94,,9.68,,4.21,,68.61
55,Brazil,2023,65.37,65.89,46.90,48.71,18.62,11.87,,,0.64,,31.36,,17.27,,
101,Canada,2023,62.57,56.66,54.61,14.26,19.76,7.77,,,0.63,,24.80,,29.64,79.57,70.23
56,Chile,2023,59.42,75.67,40.92,53.11,31.05,5.29,,,0.94,,32.87,,15.81,65.65,71.12
86,China,2023,69.21,55.77,64.54,5.58,6.82,4.17,,,1.16,,17.60,,8.78,89.87,79.56
57,Colombia,2023,59.96,72.24,34.93,18.52,23.57,3.35,,,1.26,,21.60,,3.95,52.98,55.56
385,Croatia,2023,64.09,73.60,45.90,21.64,13.15,5.19,,,0.60,,20.32,,33.47,56.91,62.73
357,Cyprus,2023,39.81,60.54,53.28,21.28,11.04,8.16,,,0.52,,28.53,,25.09,71.70,76.64
593,Ecuador,2023,54.28,75.15,31.73,57.42,32.65,23.98,,,1.04,,5.85,,3.71,54.39,56.61
372,Estonia,2023,49.48,46.82,40.86,14.89,13.09,7.88,,,0.61,,16.35,,22.90,71.33,55.70
33,France,2023,50.86,49.51,40.08,13.41,10.75,4.56,,,0.72,,23.17,,32.58,51.76,65.41
49,Germany,2023,41.43,42.15,38.62,7.68,7.69,4.10,,,0.64,,21.16,,31.65,77.50,51.05
30,Greece,2023,45.29,53.76,53.16,9.10,6.74,14.70,,,0.79,,12.12,,22.53,69.76,72.90
502,Guatemala,2023,71.85,78.89,41.28,44.16,32.39,13.20,,,0.80,,25.67,,4.14,79.68,93.85
36,Hungary,2023,28.22,38.29,34.41,8.16,9.88,7.38,,,0.56,,16.50,,25.42,65.59,64.01
91,India,2023,82.51,81.60,62.82,19.47,12.00,12.43,,,0.64,,8.42,,2.29,91.23,87.68
98,Iran,2023,26.54,60.94,23.79,17.65,9.75,9.84,,,0.82,,20.13,,22.47,86.06,48.40
972,Israel,2023,47.15,36.86,40.85,15.14,8.74,3.49,,,0.78,,17.15,,36.25,86.71,64.12
39,Italy,2023,33.75,50.85,48.48,10.39,8.33,7.75,,,0.61,,16.74,,28.06,64.33,67.33
962,Jordan,2023,47.65,73.22,52.13,46.97,15.70,7.20,,,0.54,,14.28,,7.21,86.33,78.09
371,Latvia,2023,42.99,52.39,46.96,17.91,14.34,10.66,,,0.74,,29.55,,21.79,60.95,54.12
370,Lithuania,2023,61.24,57.14,34.62,11.71,6.68,14.55,,,1.19,,16.63,,30.03,64.82,78.53
352,Luxembourg,2023,49.31,50.21,47.29,12.61,9.67,4.20,,,0.82,,24.92,,28.91,,
52,Mexico,2023,61.52,69.19,46.11,24.55,16.84,3.17,,,0.91,,30.71,,7.58,63.80,65.23
212,Morocco,2023,70.73,68.17,32.62,23.44,6.29,6.84,,,0.56,,16.98,,4.39,82.21,83.02
31,Netherlands,2023,67.37,46.01,40.29,16.02,13.69,6.92,,,0.80,,15.13,,23.65,,
47,Norway,2023,68.00,54.56,43.06,9.34,6.92,7.56,,,0.56,,23.17,,33.93,84.73,57.40
968,Oman,2023,68.74,72.87,38.05,66.05,10.64,3.18,,,0.63,,13.26,,7.71,83.84,78.10
507,Panama,2023,52.46,76.59,41.38,43.92,31.31,5.08,,,0.84,,28.23,,11.25,71.02,68.41
48,Poland,2023,73.64,48.04,52.25,2.60,2.59,11.64,,,0.85,,14.49,,21.74,63.22,43.00
787,"Puerto Rico",2023,63.32,71.39,42.69,26.96,22.30,6.02,,,0.80,,35.19,,20.95,61.57,71.73
974,Qatar,2023,68.68,68.02,42.67,47.40,14.26,4.41,,,0.95,,57.63,,18.96,90.28,82.20
40,Romania,2023,55.67,52.62,58.07,5.79,5.85,5.09,,,0.71,,25.88,,13.60,80.35,77.49
966,"Saudi Arabia",2023,93.21,90.82,60.81,38.47,25.34,13.59,,,0.85,,29.46,,4.41,95.36,95.72
421,Slovakia,2023,32.86,50.74,48.13,9.87,10.75,3.97,,,0.71,,38.32,,31.38,60.15,43.64
386,Slovenia,2023,50.23,62.84,44.23,15.40,7.07,8.84,,,0.55,,18.29,,31.22,86.18,66.86
27,"South Africa",2023,64.10,69.21,59.51,7.45,11.11,5.92,,,0.76,,21.42,,3.57,85.51,78.46
82,"South Korea",2023,37.87,55.42,26.77,24.88,10.23,19.71,,,0.61,,15.59,,15.93,90.28,57.15
34,Spain,2023,30.65,53.18,46.22,9.63,6.79,6.73,,,0.81,,10.07,,34.48,52.97,44.29
46,Sweden,2023,68.96,47.19,43.41,10.72,9.25,5.46,,,0.65,,16.35,,30.75,77.20,61.28
41,Switzerland,2023,52.49,44.89,36.35,9.96,10.29,5.83,,,0.90,,14.40,,42.57,74.89,38.39
66,Thailand,2023,79.43,76.48,48.00,30.15,23.62,11.80,,,1.08,,32.28,,4.29,90.05,90.98
44,"United Kingdom",2023,47.18,52.83,53.20,11.16,11.76,6.26,,,0.78,,25.15,,28.10,84.33,67.28
1,"United States",2023,53.81,48.99,44.55,12.09,14.71,6.74,,,0.84,,28.80,,20.42,78.94,79.21
598,Uruguay,2023,58.26,69.83,51.68,35.80,26.24,7.32,,,0.83,,24.13,,8.91,64.08,64.28
58,Venezuela,2023,65.83,84.07,30.28,49.58,22.67,4.47,,,0.89,,20.88,,4.13,,
43,Austria,2022,49.49,53.19,37.90,5.42,6.79,8.34,,,0.82,,15.75,,34.67,78.12,49.18
55,Brazil,2022,67.87,69.16,48.95,53.00,20.03,10.37,,,0.75,,31.72,,19.81,,
101,Canada,2022,58.84,55.40,51.76,14.21,16.53,6.21,,,0.81,,18.94,,33.75,79.66,68.74
56,Chile,2022,50.50,70.09,44.90,46.09,27.01,7.32,,,0.87,,29.55,,16.86,65.40,79.84
86,China,2022,56.48,54.36,56.69,6.39,5.98,3.18,,,0.72,,20.34,,8.52,84.41,72.14
57,Colombia,2022,53.44,66.56,38.49,21.23,27.96,5.06,,,0.87,,27.08,,8.15,61.64,56.17
385,Croatia,2022,60.02,73.61,48.58,19.54,13.23,3.40,,,0.56,,25.65,,32.71,54.83,63.04
357,Cyprus,2022,26.78,52.66,51.74,18.30,8.32,5.73,,,0.42,,32.45,,27.06,71.70,77.33
20,Egypt,2022,63.71,62.76,50.64,47.26,6.62,2.60,,,0.39,,25.53,,7.43,78.31,71.24
33,France,2022,52.36,49.77,40.97,15.75,9.16,2.94,,,0.65,,26.73,,33.91,55.43,67.76
49,Germany,2022,39.52,36.18,44.27,6.48,9.09,3.58,,,0.65,,12.94,,29.90,79.78,61.20
30,Greece,2022,36.35,53.77,49.47,8.28,4.85,13.34,,,0.55,,19.93,,17.35,72.00,72.01
502,Guatemala,2022,68.27,77.53,43.19,46.54,29.42,11.55,,,0.92,,29.20,,5.40,80.79,94.41
36,Hungary,2022,27.23,36.83,34.01,8.69,9.88,6.94,,,0.66,,17.61,,26.60,63.16,64.00
91,India,2022,75.45,78.08,53.97,20.08,11.52,9.04,,,0.98,,14.99,,4.79,90.52,82.46
62,Indonesia,2022,87.23,75.45,36.81,33.26,8.07,5.69,,,1.30,,16.30,,2.26,83.72,76.25
98,Iran,2022,51.29,54.23,30.92,27.45,16.44,10.77,,,0.70,,33.41,,17.48,89.25,52.97
972,Israel,2022,46.75,35.41,44.04,12.31,8.69,3.45,,,0.67,,19.58,,42.73,81.34,65.34
81,Japan,2022,12.70,14.89,50.94,5.05,6.35,6.34,,,0.39,,18.01,,41.69,60.39,23.75
371,Latvia,2022,34.56,53.88,36.73,17.62,14.20,12.34,,,0.60,,24.96,,28.53,58.06,53.18
370,Lithuania,2022,40.38,49.78,46.22,15.10,12.73,8.28,,,0.54,,25.34,,20.01,62.76,69.62
352,Luxembourg,2022,52.38,50.04,44.13,14.04,7.00,5.28,,,0.63,,39.01,,40.30,,
52,Mexico,2022,56.36,67.11,45.48,17.51,12.90,1.58,,,0.88,,24.29,,5.26,60.15,60.02
212,Morocco,2022,62.49,63.33,44.44,37.25,4.24,4.12,,,0.58,,27.42,,11.75,85.56,80.39
31,Netherlands,2022,61.62,42.19,33.76,16.20,12.45,6.80,,,0.62,,20.44,,30.80,,
47,Norway,2022,73.56,49.22,41.02,5.47,6.47,5.56,,,0.55,,22.75,,38.72,88.53,67.19
968,Oman,2022,75.66,57.63,33.25,44.30,11.67,4.08,,,0.98,,14.84,,14.43,76.23,75.06
507,Panama,2022,53.38,76.66,48.26,53.01,27.87,5.84,,,0.79,,40.14,,11.47,69.33,66.96
48,Poland,2022,72.26,47.79,53.14,2.50,1.56,9.79,,,1.08,,16.96,,19.53,63.77,41.89
787,"Puerto Rico",2022,64.08,68.88,45.18,26.29,20.04,5.61,,,0.80,,31.20,,22.40,,
974,Qatar,2022,80.97,64.05,43.00,43.61,10.70,3.86,,,1.04,,58.36,,27.47,88.11,79.61
40,Romania,2022,63.75,62.68,55.69,6.38,8.25,8.61,,,0.66,,23.90,,21.21,84.56,81.74
966,"Saudi Arabia",2022,89.50,88.13,63.34,31.75,19.24,9.73,,,0.74,,23.54,,4.22,96.73,94.85
381,Serbia,2022,37.76,66.13,41.34,12.41,10.48,2.94,,,0.43,,12.32,,13.58,81.41,74.94
421,Slovakia,2022,29.37,42.85,42.90,8.56,10.73,6.56,,,0.80,,6.17,,22.58,64.54,50.60
386,Slovenia,2022,54.96,62.81,50.21,15.31,8.03,8.09,,,0.55,,15.62,,35.71,88.62,72.63
27,"South Africa",2022,61.31,63.73,59.44,5.98,8.47,1.84,,,0.86,,21.04,,7.86,79.84,79.77
82,"South Korea",2022,41.03,54.81,18.29,23.88,11.90,19.90,,,0.56,,33.19,,15.38,90.13,58.90
34,Spain,2022,26.03,46.52,50.85,8.27,5.96,7.01,,,0.99,,10.15,,38.46,55.44,47.01
46,Sweden,2022,76.72,49.42,41.47,13.66,9.09,4.79,,,0.65,,14.58,,33.10,,
41,Switzerland,2022,46.95,47.56,32.28,10.50,7.37,8.23,,,0.76,,11.49,,38.37,74.07,38.26
886,Taiwan,2022,46.81,39.94,42.91,15.15,5.56,9.02,,,0.62,,36.92,,13.55,57.97,48.25
228,Togo,2022,77.16,87.51,40.58,52.28,24.10,17.97,,,1.12,,16.58,,3.27,88.39,85.13
216,Tunisia,2022,61.80,78.62,42.59,50.67,17.14,10.04,,,0.75,,21.71,,6.85,83.72,80.65
971,"United Arab Emirates",2022,72.16,71.66,39.18,44.46,25.52,4.53,,,0.71,,76.74,,19.50,87.02,82.80
44,"United Kingdom",2022,44.35,53.49,52.89,10.87,12.89,6.84,,,0.71,,19.52,,34.04,82.48,71.65
1,"United States",2022,46.01,66.80,43.06,13.58,19.19,9.18,,,0.89,,24.36,,22.27,79.86,75.90
598,Uruguay,2022,58.20,69.13,46.66,32.69,26.30,6.36,,,0.83,,24.29,,16.11,66.73,61.67
58,Venezuela,2022,63.69,83.24,33.40,29.43,15.94,2.57,,,0.89,,13.15,,4.91,,
